Model,pred_len,iTransformer,PatchTST,DLinear,Autoformer,CSDI,TimeGrad,GRU NVP,GRU
ETTm1,96,0.271,0.272,0.282,0.388,0.236,0.522,0.383,0.4449
ETTm1,192,0.301,0.295,0.309,0.442,0.291,0.603,0.396,0.5145
ETTm1,336,0.333,0.323,0.338,0.429,0.322,0.601,0.486,0.6043
ETTm1,720,0.376,0.353,0.387,0.44,0.448,0.621,0.546,0.6075
ETTm2,96,0.137,0.132,0.138,0.158,0.115,0.427,0.319,0.4215
ETTm2,192,0.161,0.157,0.163,0.175,0.147,0.424,0.326,0.4598
ETTm2,336,0.18,0.176,0.188,0.191,0.190,0.469,0.449,0.4775
ETTm2,720,0.211,0.205,0.219,0.217,0.239,0.47,0.561,0.5083
ETTh1,96,0.321,0.328,0.352,0.367,0.437,0.455,0.379,0.5238
ETTh1,192,0.359,0.359,0.393,0.392,0.496,0.516,0.425,0.5912
ETTh1,336,0.388,0.384,0.419,0.398,0.454,0.512,0.458,0.5978
ETTh1,720,0.408,0.397,0.502,0.433,0.528,0.523,0.502,0.7040
ETTh2,96,0.177,0.177,0.211,0.203,0.164,0.358,0.432,0.5090
ETTh2,192,0.203,0.201,0.238,0.226,0.226,0.457,0.625,0.5475
ETTh2,336,0.243,0.24,0.284,0.264,0.274,0.481,0.793,0.6245
ETTh2,720,0.264,0.252,0.307,0.287,0.302,0.445,0.539,0.5862
Electricity,96,0.098,0.086,0.09,0.14,0.153,0.096,0.094,0.1215
Electricity,192,0.106,0.092,0.095,0.136,0.200,0.1,0.097,0.1270
Electricity,336,0.115,0.1,0.104,0.147,-,0.102,0.099,0.1249
Electricity,720,0.133,0.116,0.122,0.159,-,0.108,0.114,0.1599
Traffic,96,0.246,0.248,0.356,0.293,-,0.202,0.187,0.2668
Traffic,192,0.259,0.245,0.346,0.318,-,0.208,0.192,0.2686
Traffic,336,0.283,0.257,0.35,0.332,-,0.213,0.201,0.2881
Traffic,720,0.275,0.266,0.365,0.341,-,0.22,0.211,0.3084
Weather,96,0.089,0.087,0.112,0.239,0.068,0.13,0.116,0.2503
Weather,192,0.093,0.09,0.122,0.213,0.068,0.127,0.122,0.3050
Weather,336,0.096,0.092,0.13,0.176,0.083,0.13,0.128,0.2703
Weather,720,0.099,0.094,0.144,0.17,0.087,0.113,0.11,0.2696
Exchange,96,0.025,0.023,0.024,0.032,0.028,0.068,0.071,0.0733
Exchange,192,0.036,0.034,0.035,0.041,0.045,0.087,0.068,0.0772
Exchange,336,0.048,0.048,0.048,0.056,0.060,0.074,0.072,0.0859
Exchange,720,0.076,0.072,0.075,0.112,0.143,0.099,0.079,0.0922
ILI,24,0.094,0.169,0.213,0.122,0.250,0.275,0.257,0.3334
ILI,36,0.102,0.156,0.23,0.111,0.285,0.272,0.281,0.3577
ILI,48,0.103,0.156,0.221,0.134,0.285,0.295,0.288,0.3137
ILI,60,0.128,0.147,0.23,0.144,0.283,0.295,0.307,0.3680
